Filing Date,Department or Agency,Regulation Title,Hearing/Report Date,Became Law,Available Documents
7/24/2023,DEPARTMENT OF AVIATION,AIRPORT RATES AND CHARGES REGULATION AND AIRLINE OPERATING TERMS AND CONDITIONS FOR THE USE OF FACILITIES AND SERVICES AT THE PHILADELPHIA INTERNATIONAL AIRPORT AND NORTHEAST PHILADELPHIA AIRPORT,N,N,"https://regulations.phila-records.com/pdfs/Memo-FY2024 Rates and Charges Regulation-7.24.2023.pdf, https://regulations.phila-records.com/pdfs/Rate Regulation FY2024-7.24.2023 with cover.pdf"
7/14/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 6.14.65 AIRPORT EMPLOYEES REQUIRED TO OBTAIN SECURITY IDENTIFICATION DISPLAY CLEARANCE,N,N,"https://regulations.phila-records.com/pdfs/6.14.65-23-06.pdf, https://regulations.phila-records.com/pdfs/23-06 Law Memo SIGNED.pdf"
7/14/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 5.158 CLASSES ELIGIBLE FOR IN-POSITION PROMOTION,N,N,https://regulations.phila-records.com/pdfs/5.158-23-6.pdf
7/10/2023,PHILADELPHIA WATER DEPARTMENT,WATER DEPARTMENT’S RATES AND CHARGES FOR FY 2024 AND FY 2025,N,Y,"https://regulations.phila-records.com/pdfs/Commissioner Memo for Compliance Filing_FY24 and FY25.pdf, https://regulations.phila-records.com/pdfs/Law Memo for Compliance Filing_FY 24 and FY 25.pdf, https://regulations.phila-records.com/pdfs/PWD_ FY 2024 and FY 2025 Final Rates and Charges Combined.pdf"
6/22/2023,"WATER, SEWER AND STORM WATER RATE BOARD",2023 GENERAL RATE PROCEEDING – DETERMINATION OF WATER DEPARTMENT GENERAL RATES AND CHARGES BEGINNING 9/1/2023 AND 9/1/2024,N,N,"https://regulations.phila-records.com/pdfs/2023 General Rate Proceeding Rate Determination adopted by Rate Board_20230621.pdf, https://regulations.phila-records.com/pdfs/DWCH to Leonard 20230621 transmittal_2023 General Rate Proceeding Rate Determination.pdf, https://regulations.phila-records.com/pdfs/DWCH to Popowsky 20230621 approving_2023 General Rate Proceeding Rate Determination.pdf, https://regulations.phila-records.com/pdfs/Popowsky to Leonard 20230621 transmitting_2023 General Rate Proceeding Rate Determination for filing.pdf"
6/22/2023,"WATER, SEWER AND STORM WATER RATE BOARD", 2023 TAP-R RECONCILIATION PROCEEDING – DETERMINATION OF WATER DEPARTMENT TIERED ASSISTANCE PROGRAM RATE RIDER SURCHARGE RATES BEGINNING 9/1/2023,N,N,"https://regulations.phila-records.com/pdfs/2023 TAP-R Reconciliation Proceeding Rate Determination adopted by Rate Board 20230621.pdf, https://regulations.phila-records.com/pdfs/DWCH to Leonard 20230621 transmittal - 2023 TAP-R Reconciliation Proceeding Rate Determination.pdf, https://regulations.phila-records.com/pdfs/DWCH to Popowsky 20230621 approving 2023 TAP-R Reconciliation Proceeding Rate Determination.pdf, https://regulations.phila-records.com/pdfs/Popowsky to Leonard 20230621 transmitting 2023 TAP-R Reconciliation Proceeding Rate Determination for filing.pdf"
6/20/2023,DEPARTMENT OF STREETS,AMENDMENTS TO THE PARKING REGULATIONS FOR THE CENTER CITY AREA - JUNE 2023,N,N,"https://regulations.phila-records.com/pdfs/Changes for June 2023.pdf, https://regulations.phila-records.com/pdfs/cover memo June 2023 Parking .pdf"
6/13/2023,BOARD OF LABOR STANDARDS,REGULATIONS REGARDING PUBLIC HEARING PROCEDURES,N,Y,"https://regulations.phila-records.com/pdfs/2023.04.18 BoLS Hearing Procedure Regulations APPROVED.pdf, https://regulations.phila-records.com/pdfs/Board of Labor Standards Procedure Regulations - Cover Memo.pdf"
6/9/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 31.61- REFERRAL BONUS PROGRAM,N,Y,"https://regulations.phila-records.com/pdfs/23-05_Law Memo_fw signature.pdf, https://regulations.phila-records.com/pdfs/31.61-23-03.pdf"
6/9/2023,OFFICE OF HUMAN RESOURCES, AMENDMENT OF CIVIL SERVICE SERVICE REGULATION 31.047-PAY RATE FOR CORRECTIONAL CAPTAI,N,Y,"https://regulations.phila-records.com/pdfs/23-05 Law Memo_fw signature.pdf, https://regulations.phila-records.com/pdfs/31.047-23-05.pdf"
6/9/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 11.17- MINIMUM AGE REQUIREMENTS,N,Y,"https://regulations.phila-records.com/pdfs/11.17_23-05.pdf, https://regulations.phila-records.com/pdfs/23-05_Law Memo fw signature.pdf"
6/9/2023,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 7.08 DATE AS OF WHICH ELIGIBILITY IS REQUIRED,N,Y,"https://regulations.phila-records.com/pdfs/7.08-23-05.pdf, https://regulations.phila-records.com/pdfs/23-05 Law Memo fw signature.pdf"
6/9/2023,DEPARTMENT OF PUBLIC HEALTH,"REGULATION REQUIRING A PERMIT FOR CREMATION, BURIAL AT SEA, BODY DONATION, OR OTHER NON-BURIAL DISPOSITION METHODS RELATED TO DECEASED PERSONS",N,Y,"https://regulations.phila-records.com/pdfs/Cremation Permit Regulation_Final.pdf, https://regulations.phila-records.com/pdfs/Memo to Records Dept_Cremation Permit Regulation.pdf, https://regulations.phila-records.com/pdfs/Signed cover memo_Cremation regulation_6.9.2023.pdf"
