ID,Title,Template,Date,Link,Categories
304786,Resources for Translators,document,2023-07-26 13:03:54,www.phila.gov/documents/resources-for-translators/,Office of Immigrant Affairs
304672,Office of Emergency Management (OEM) Unmanned Aircraft System policy,document,2023-07-25 13:14:35,www.phila.gov/documents/office-of-emergency-management-oem-unmanned-aircraft-system-policy/,Office of Emergency Management
304666,City files lawsuit to stop gun shops from selling to straw purchasers,document,2023-07-25 13:13:17,www.phila.gov/documents/city-files-lawsuit-to-stop-gun-shops-from-selling-to-straw-purchasers/,Law Department;Office of the Mayor
304143,Board of Labor Standards meeting agendas,document,2023-07-19 11:58:15,www.phila.gov/documents/board-of-labor-standards-meeting-agendas/,Board of Labor Standards
304054,Tax Clearance resources,document,2023-07-19 10:23:08,www.phila.gov/documents/tax-clearance-resources/,Department of Revenue
303747,Systems Navigation Video Project,document,2023-07-17 13:13:51,www.phila.gov/documents/systems-navigation-video-project/,Mayor's Office for People with Disabilities
301066,"Lehigh Avenue, Kensington to American Complete Streets Project",document,2023-07-14 14:19:51,www.phila.gov/documents/lehigh-kensington-american/,"Office of Transportation, Infrastructure, and Sustainability"
303340,Hurricane Ida disaster recovery plans and other resources,document,2023-07-13 13:17:25,www.phila.gov/documents/hurricane-ida-disaster-recovery-plans-and-other-resources/,Office of the Director of Finance
303110,Strawberry Mansion Neighborhood Bikeways,document,2023-07-11 13:43:29,www.phila.gov/documents/strawberry-mansion-bikeways/,"Office of Transportation, Infrastructure, and Sustainability"
301779,Community Expansion Grant Evaluation - Year One,document,2023-06-29 10:58:46,www.phila.gov/documents/community-expansion-grant-evaluation-year-one/,Office of Criminal Justice
301605,Special Events Safety Guide,document,2023-06-28 13:20:26,www.phila.gov/documents/special-events-safety-guide/,Office of Emergency Management
300795,Germantown Neighborhood Bikeways,document,2023-06-21 10:43:04,www.phila.gov/documents/germantown-bikeways/,"Office of Transportation, Infrastructure, and Sustainability"
300687,ACP Eligibility Letters,document,2023-06-20 12:17:14,www.phila.gov/documents/acp-eligibility-letters/,Office of Innovation and Technology;PHLConnectED
300315,2023 Wage Tax by industry,document,2023-06-14 13:31:24,www.phila.gov/documents/2023-wage-tax-by-industry/,Department of Revenue
299550,2022 Impact Report,document,2023-06-08 11:02:42,www.phila.gov/documents/2022-impact-report/,Office of Community Empowerment and Opportunity
299123,General ACP Flyers,document,2023-06-05 15:48:51,www.phila.gov/documents/general-acp-flyers/,Human Resources and Talent Unit
297504,Black + Gold Series resources,document,2023-06-02 15:26:30,www.phila.gov/documents/black-and-gold-series-resources/,Mayor's Office of Public Engagement
298903,"Limekiln Pike, Medary to Haines Great Streets Project",document,2023-06-01 16:58:07,www.phila.gov/documents/limekiln-medary-haines/,"Office of Transportation, Infrastructure, and Sustainability"
298508,Inclusive Language Guide,document,2023-05-30 13:47:02,www.phila.gov/documents/inclusive-language-guide/,Law Department
298401,2022 Tiered Assistance Program report,document,2023-05-26 11:35:56,www.phila.gov/documents/2022-tiered-assistance-program-report/,Department of Revenue
297355,Office of Special Events frequently asked questions,document,2023-05-25 12:58:00,www.phila.gov/documents/office-of-special-events-frequently-asked-questions/,Office of Special Events
297875,Medicaid Reenrollment Flyers,document,2023-05-23 12:09:44,www.phila.gov/documents/medicaid-reenrollment-flyers/,Office of Community Empowerment and Opportunity
297413,2023 Realty Transfer Tax collection,document,2023-05-18 13:59:40,www.phila.gov/documents/2023-realty-transfer-tax-collection/,Department of Revenue
282763,Hepatitis B and Hepatitis C in Philadelphia Annual Report,document,2023-05-16 11:00:46,www.phila.gov/documents/hepatitis-b-and-hepatitis-c-in-philadelphia-annual-report/,Department of Public Health
296823,"2nd Street, Race to Market Bike Lane Project",document,2023-05-12 14:12:32,www.phila.gov/documents/2nd-race-market/,"Office of Transportation, Infrastructure, and Sustainability"
296557,"Longshore Ave, Roosevelt Blvd to Frontenac Street Great Streets Project",document,2023-05-10 20:33:33,www.phila.gov/documents/longshore-roosevelt-frontenac/,"Office of Transportation, Infrastructure, and Sustainability"
296553,"Westminster Avenue, 40th Street to 52nd Street Great Streets Project",document,2023-05-10 20:30:02,www.phila.gov/documents/westminster-40th-52nd/,"Office of Transportation, Infrastructure, and Sustainability"
296523,GROW Study Literature Review,document,2023-05-10 17:20:45,www.phila.gov/documents/grow-study-literature-review/,Office of Community Empowerment and Opportunity
296506,Bipartisan Infrastructure Law in Philadelphia,document,2023-05-10 16:26:31,www.phila.gov/documents/bil-in-philadelphia/,"Office of Transportation, Infrastructure, and Sustainability"
296460,"Tioga Street, 5th to 15th Great Streets Project",document,2023-05-10 14:53:50,www.phila.gov/documents/tioga-5th-15th/,"Office of Transportation, Infrastructure, and Sustainability"
296454,"57th Street, Upland Way to Wynnefield Great Streets Project",document,2023-05-10 14:47:14,www.phila.gov/documents/57th-upland-wynnefield/,"Office of Transportation, Infrastructure, and Sustainability"
294785,"Springfield Avenue, 51st to 57th Great Streets Project",document,2023-04-26 17:05:09,www.phila.gov/documents/springfield-51st-57th/,"Office of Transportation, Infrastructure, and Sustainability"
294775,Philadelphia’s Plastic Bag Ban and Changes in Bag Usage Report,document,2023-04-26 16:59:48,www.phila.gov/documents/philadelphias-plastic-bag-ban-and-changes-in-bag-usage-report/,Office of Sustainability;Office of the Mayor
294774,"11th Street, Master to Diamond - Great Streets Project",document,2023-04-26 16:58:27,www.phila.gov/documents/11th-master-diamond/,"Office of Transportation, Infrastructure, and Sustainability"
293311,Business Security Camera Program,document,2023-04-25 09:38:48,www.phila.gov/documents/business-security-camera-program/,Department of Commerce
293893,Mayor’s Commission on African American Males annual reports,document,2023-04-20 15:30:06,www.phila.gov/documents/mayors-commission-on-african-american-males-annual-reports/,Mayor's Office of Black Male Engagement
293411,Summer programming for youth resources,document,2023-04-20 14:06:07,www.phila.gov/documents/summer-programming-for-youth-resources/,Department of Human Services;Office of Children and Families
293668,City Settlement with I.B.I.D. Associates Limited Partnership,document,2023-04-19 09:03:43,www.phila.gov/documents/city-settlement-with-i-b-i-d-associates-limited-partnership/,Law Department
293643,Parkside Avenue Intersections Improvement Project,document,2023-04-18 19:57:13,www.phila.gov/documents/parkside-avenue-intersections-improvement-project/,Department of Streets
293548,Survey districts map,document,2023-04-18 12:42:28,www.phila.gov/documents/survey-districts-map/,Board of Surveyors
246803,Special hauling permit documents,document,2023-04-17 15:12:26,www.phila.gov/documents/special-hauling-permit-documents/,Department of Streets
