Title,Link
The Philadelphia Code,https://codelibrary.amlegal.com/
The Philadelphia Code | Skip to main content,https://codelibrary.amlegal.com#maincontent
The Philadelphia Code | Login,https://codelibrary.amlegal.com/login?next=%2Fcodes%2Fphiladelphia%2Flatest%2Fphiladelphia_pa%2F0-0-0-262986
The Philadelphia Code | Sitemap,https://codelibrary.amlegal.com/sitemap
The Philadelphia Code | Accessibility,https://codelibrary.amlegal.com/accessibility
The Philadelphia Code | Help Center,https://codelibrary.amlegal.comhttps://www.amlegal.com/tutorials
The Philadelphia Code | Skip to code content (skip section selection),https://codelibrary.amlegal.com#codecontent
The Philadelphia Code | PhiladelphiaOverview,https://codelibrary.amlegal.com/codes/philadelphia/latest/overview
The Philadelphia Code | The Philadelphia Code,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-262986
The Philadelphia Code | PHILADELPHIA HOME RULE CHARTER,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-262986
The Philadelphia Code | THE PHILADELPHIA CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-266407
The Philadelphia Code | TITLE 1. GENERAL PROVISIONS,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-266780
The Philadelphia Code | TITLE 2. CITY-COUNTY CONSOLIDATION,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-266907
The Philadelphia Code | TITLE 3. AIR MANAGEMENT CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-267123
The Philadelphia Code | TITLE 4. THE PHILADELPHIA BUILDING CONSTRUCTION AND OCCUPANCY CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-267468
The Philadelphia Code | TITLE 4.1. ELECTRICAL CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-272446
The Philadelphia Code | TITLE 4.2. PROPERTY MAINTENANCE CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-272447
The Philadelphia Code | TITLE 5. FIRE PREVENTION CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-272448
The Philadelphia Code | TITLE 6. HEALTH CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-272449
The Philadelphia Code | TITLE 7. HOUSING CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-273912
The Philadelphia Code | TITLE 8. PLUMBING CODE,https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-274056
"The Philadelphia Code | TITLE 9. REGULATION OF BUSINESSES, TRADES AND PROFESSIONS",https://codelibrary.amlegal.com/codes/philadelphia/latest/philadelphia_pa/0-0-0-274057
